Rank,Name,Industry,Revenue (USD billions),Employees,Headquarters
1,Cargill,Food industry,177.0,160000,"Minnetonka, Minnesota"
2,Koch Industries,Conglomerate,125.0,120000,"Wichita, Kansas"
3,Publix Super Markets,Retail,54.5,250000,"Lakeland, Florida"
4,"Mars, Incorporated",Food industry,47.0,140000,"McLean, Virginia"
5,H-E-B,Retail,43.6,145000,"San Antonio, Texas"
6,Reyes Holdings,Wholesaling,40.0,36000,"Rosemont, Illinois"
7,Enterprise Holdings,Car rental,35.0,90000,"Clayton, Missouri"
8,C&S Wholesale Grocers,Wholesaling,34.7,15000,"Keene, New Hampshire"
9,Love's,Petroleum industry and Retail,26.5,40000,"Oklahoma City, Oklahoma"
10,Southern Glazer's Wine and Spirits,Food industry,26.0,24000,"Miramar, Florida"
